الإجراء التنفيذي / المشروع,القطاع,المكون,الهدف,البرنامج,البرنامج الفرعي,مؤشر القياس,وحدة القياس,المستهدف الكلي,المتحقق الكلي,تاريخ بداية التنفيذ,تاريخ الإنجاز,الجهة المنفذة,موقف الإجراء,الكلفة الكلية,التمويل المخصص,المبلغ المصروف,العملة,وحدة المبلغ,مصدر التمويل,ملاحظات
اقامة ورش توعوية لادارات المدارس حول كيفية استمرار التعليم في ظل الازمات مع الابقاء على متابعة منصة نيوتن والمدرسة الالكترونية تحسبا لاي طارئ,ge,الحوكمة والادارة,اضفاء الطابع المؤسسي على التخطيط المراعي للأزمات وتعزيز قدرات الاستجابة على المستويين المركزي واللامركزي لضمان استمرار التعليم أثناء الأزمة,إدارة الازمات,تعزيز دور خلية الأزمات في وزارة التربية والمديريات في المحافظات على إدارة المخاطر,تم انشاء خلية / وحدة الأزمات في وزارة التربية ومديريات التربية، لدعم المدارس للحد وإدارة الأزمات التي تؤثر على تقديم خدمات التعليم,percent,100.0,,2025,2025,قسم الاعداد والتدريب,done,0.0,0.0,0.0,IQD,one,لايوجد,
اقامة ورش توعوية لادارات المدارس حول كيفية استمرار التعليم في ظل الازمات مع الابقاء على متابعة منصة نيوتن والمدرسة الالكترونية تحسبا لاي طارئ,ge,الحوكمة والادارة,اضفاء الطابع المؤسسي على التخطيط المراعي للأزمات وتعزيز قدرات الاستجابة على المستويين المركزي واللامركزي لضمان استمرار التعليم أثناء الأزمة,إدارة الازمات,تعزيز دور خلية الأزمات في وزارة التربية والمديريات في المحافظات على إدارة المخاطر,تم انشاء خلية / وحدة الأزمات في وزارة التربية ومديريات التربية، لدعم المدارس للحد وإدارة الأزمات التي تؤثر على تقديم خدمات التعليم,percent,100.0,50.0,2024,2025,قسم الاعداد والتدريب - تربية نينوى,done,0.0,0.0,0.0,IQD,one,لايوجد,
متابعة تنفيذ برنامج الشفافية وحماية المال العام,ge,الحوكمة والادارة,اظفاء الطابع المؤسسي على التخطيط المراعي للازمات وتعزيز قدرات الاستجابة على المستويين المركزي واللامركزي لضمان استمرار التعليم اثناء الازمة,ادارة الازمات,تعزيز دور خلية الأزمات في وزارة التربية والمديريات في المحافظات على إدارة المخاطر,متابعة وتنفيذ برنامج الشفافية وحماية المال العام,,1.0,,2026,2026,شعبة إدارة الجودة والتطوير المؤسسي,done,,,,IQD,one,,
تدريب 250 معلم ومدرس ومنتسب,ge,الحوكمة والادارة,اضفاء الطابع المؤسسي على التخطيط المراعي للأزمات وتعزيز قدرات الاستجابة على المستويين المركزي واللامركزي لضمان استمرار التعليم أثناء الأزمة,إدارة الازمات,تدريب العاملين في خلية الأزمات ووزارة التربية والمديريات العامة للتربية في المحافظات على الاستجابة للازمات لضمان استمرار التعليم أثناء الأزمات,تم انشاء خلية / وحدة الأزمات في وزارة التربية ومديريات التربية، لدعم المدارس للحد وإدارة الأزمات التي تؤثر على تقديم خدمات التعليم,percent,100.0,60.0,2024,2025,قسم الاعداد والتدريب - تربية نينوى,done,20000000.0,0.0,,IQD,one,تشغيلية,
تم اعداد حقيبة تدريبية لمواجهة ازمة الفياضانات التي تواجها المدارس وكيفية الحد منها واقامة ورشة تدريبية لموظفي قسم التخطيط التربوي بواقع (35) موظف وحسب كتابنا المرقم 38226/8/2 في 2024/7/30,ge,الحوكمة والادارة,اضفاء الطابع المؤسسي على التخطيط المراعي للأزمات وتعزيز قدرات الاستجابة على المستويين المركزي واللامركزي لضمان استمرار التعليم أثناء الأزمة,إدارة الازمات,تدريب العاملين في خلية الأزمات ووزارة التربية والمديريات العامة للتربية في المحافظات على الاستجابة للازمات لضمان استمرار التعليم أثناء الأزمات,تم انشاء خلية / وحدة الأزمات في وزارة التربية ومديريات التربية، لدعم المدارس للحد وإدارة الأزمات التي تؤثر على تقديم خدمات التعليم,percent,100.0,50.0,2024,2025,قسم التخطيط التربوي,done,0.0,0.0,0.0,IQD,one,لا يحتاج الى تخصيص,
تدريب المعلمين والمدرسين على البرامج في خلية الازمات,ge,الحوكمة والادارة,اضفاء الطابع المؤسسي على التخطيط المراعي للأزمات وتعزيز قدرات الاستجابة على المستويين المركزي واللامركزي لضمان استمرار التعليم أثناء الأزمة,إدارة الازمات,تدريب العاملين في خلية الأزمات ووزارة التربية والمديريات العامة للتربية في المحافظات على الاستجابة للازمات لضمان استمرار التعليم أثناء الأزمات,تم انشاء خلية / وحدة الأزمات في وزارة التربية ومديريات التربية، لدعم المدارس للحد وإدارة الأزمات التي تؤثر على تقديم خدمات التعليم,percent,100.0,50.0,2024,2025,قسم الاعداد والتدريب - تربية الرصافة الثالثة,done,0.0,0.0,0.0,IQD,one,لايوجد,
إقامة دورات وورش ودروس تدريبية لمعلمي المديرية وفق معايير الجودة بعدد 201,ge,الحوكمة والادارة,اضفاء الطابع المؤسسي على التخطيط المراعي للأزمات وتعزيز قدرات الاستجابة على المستويين المركزي واللامركزي لضمان استمرار التعليم أثناء الأزمة,إدارة الازمات,تدريب العاملين في خلية الأزمات ووزارة التربية والمديريات العامة للتربية في المحافظات على الاستجابة للازمات لضمان استمرار التعليم أثناء الأزمات,تم انشاء خلية / وحدة الأزمات في وزارة التربية ومديريات التربية، لدعم المدارس للحد وإدارة الأزمات التي تؤثر على تقديم خدمات التعليم,percent,100.0,75.0,2023,2025,تربية بابل,done,0.0,0.0,0.0,IQD,one,لا يحتاج للتخصيص,
تعديل تعليمات تأسيس المؤسسات التربوية الاهلية الدولية,ge,الحوكمة والادارة,تعزيز الشراكة مع القطاع الخاص لضمان تحسين جودة التعليم,الشراكة مع القطاع الخاص,تعديل نظام المدارس الأهلية,تم انشاء خلية / وحدة الأزمات في وزارة التربية ومديريات التربية، لدعم المدارس للحد وإدارة الأزمات التي تؤثر على تقديم خدمات التعليم,percent,100.0,0.0,2024,2025,م.ع للتعليم العام والاهلي والاجنبي وجلس شورى الدولة,done,0.0,0.0,0.0,IQD,one,لا يحتاج للتخصيص,
تعديل نظام التعليم الاهلي رقم 5 لسنة 2013,ge,الحوكمة والادارة,تعزيز الشراكة مع القطاع الخاص لضمان تحسين جودة التعليم,الشراكة مع القطاع الخاص,تعديل نظام المدارس الأهلية,تم انشاء خلية / وحدة الأزمات في وزارة التربية ومديريات التربية، لدعم المدارس للحد وإدارة الأزمات التي تؤثر على تقديم خدمات التعليم,percent,100.0,0.0,2024,2026,المديرية العامة للتعليم العام والاهلي والاجنبي /قسم التعليم الاهلي,done,0.0,0.0,0.0,IQD,one,,
تأمين وضمان المقاعد في الكليات التربوية في وزارة التعليم العالي والبحث العلمي,ge,الموارد البشرية,توفير بيئة تعليمية تجذب وتحتفظ بموظفي التعليم المؤهلين والمتحمسين,الاختيار والتوظيف والتحفيز,تحسين اختيار المعلمين وتوظيفهم وتنويع مؤهلاتهم، وزيادة القبول في الكلية التربوية المفتوحة وكليات التربية في وزارة التعليم العالي والبحث العلمي,معدل العاملين من غير المعلمين الى اعضاء هيئة التدريس بحسب المستوى التعليمي( وبحسب المحافظة,percent,100.0,0.0,2024,2031,الاقسام الاشراف التربوي والاختصاصي والموارد البشرية,done,0.0,0.0,0.0,IQD,one,لايوجد تخصيص مالي,
تأمين وضمان المقاعد في الكليات التربوية في وزارة التعليم العالي والبحث العلمي,ge,الموارد البشرية,توفير بيئة تعليمية تجذب وتحتفظ بموظفي التعليم المؤهلين والمتحمسين,الاختيار والتوظيف والتحفيز,تحسين اختيار المعلمين وتوظيفهم وتنويع مؤهلاتهم، وزيادة القبول في الكلية التربوية المفتوحة وكليات التربية في وزارة التعليم العالي والبحث العلمي,معدل العاملين من غير المعلمين الى اعضاء هيئة التدريس بحسب المستوى التعليمي( وبحسب المحافظة,percent,100.0,7.0,2024,2031,الاقسام الاشراف التربوي والاختصاصي والموارد البشرية,done,0.0,0.0,0.0,IQD,one,لايوجد تخصيص مالي,
اعداد خطة الاجازات الدراسية للعام الدراسي (2025 / 2026) وبالتنسيق مع وزارتي التخطيط والتعليم العالي والبحث العلمي حيث أرسلت الاختصاصات الى تشكيلات الوزارة و بواقع (85) اختصاص دبلوم عالي، (346) اختصاص ماجستير و( 216) اختصاص دكتوراه,ge,الموارد البشرية,توفير بيئة تعليمية تجذب وتحتفظ بموظفي التعليم المؤهلين والمتحمسين,الاختيار والتوظيف والتحفيز,تحسين اختيار المعلمين وتوظيفهم وتنويع مؤهلاتهم، وزيادة القبول في الكلية التربوية المفتوحة وكليات التربية في وزارة التعليم العالي والبحث العلمي,معدل العاملين من غير المعلمين الى اعضاء هيئة التدريس بحسب المستوى التعليمي( وبحسب المحافظة,percent,100.0,50.0,2024,2025,م.ع.للتخطيط التربوي - قسم التخطيط والمديرية العامة للعلاقات الثقافية,done,0.0,0.0,0.0,IQD,one,,
اعداد خطة الاجازات الدراسية للعام الدراسي (2026 / 2027) وبالتنسيق مع وزارتي التخطيط والتعليم العالي والبحث العلمي,ge,الموارد البشرية,توفير بيئة تعليمية تجذب وتحتفظ بموظفي التعليم المؤهلين والمتحمسين,الاختيار والتوظيف والتحفيز,تحسين اختيار المعلمين وتوظيفهم وتنويع مؤهلاتهم، وزيادة القبول في الكلية التربوية المفتوحة وكليات التربية في وزارة التعليم العالي والبحث العلمي,معدل العاملين من غير المعلمين الى اعضاء هيئة التدريس بحسب المستوى التعليمي( وبحسب المحافظة,percent,100.0,0.0,2026,2027,م.ع.للتخطيط التربوي - قسم التخطيط والمديرية العامة للعلاقات الثقافية,done,0.0,0.0,0.0,IQD,one,,
تنظيم قبول الطلبة بما يتلائم مع تخصصاتهم العلمية,ge,الموارد البشرية,توفير بيئة تعليمية تجذب وتحتفظ بموظفي التعليم المؤهلين والمتحمسين,الاختيار والتوظيف والتحفيز,تحسين اختيار المعلمين وتوظيفهم وتنويع مؤهلاتهم، وزيادة القبول في الكلية التربوية المفتوحة وكليات التربية في وزارة التعليم العالي والبحث العلمي,معدل العاملين من غير المعلمين الى اعضاء هيئة التدريس بحسب المستوى التعليمي( وبحسب المحافظة,percent,100.0,50.0,2024,2025,الكلية التربوية المفتوحة,done,0.0,0.0,0.0,IQD,one,,
إقامة العدد من الدورات والندوات التطويرية,ge,الموارد البشرية,توفير بيئة تعليمية تجذب وتحتفظ بموظفي التعليم المؤهلين والمتحمسين,الاختيار والتوظيف والتحفيز,تحسين اختيار المعلمين وتوظيفهم وتنويع مؤهلاتهم، وزيادة القبول في الكلية التربوية المفتوحة وكليات التربية في وزارة التعليم العالي والبحث العلمي,معدل العاملين من غير المعلمين الى اعضاء هيئة التدريس بحسب المستوى التعليمي( وبحسب المحافظة,percent,100.0,50.0,2024,2025,الكلية التربوية المفتوحة,done,0.0,0.0,0.0,IQD,one,,
اعداد دراسة الرخصة المهنية لمدرسي الرياضيات,ge,الموارد البشرية,توفير بيئة تعليمية تجذب وتحتفظ بموظفي التعليم المؤهلين والمتحمسين,الاختيار والتوظيف والتحفيز,تطوير نظام تصنيف جديد للمعلمين يربط تقييمات الأداء بالتطوير المهني,معدل العاملين من غير المعلمين الى اعضاء هيئة التدريس بحسب المستوى التعليمي( وبحسب المحافظة,percent,100.0,,2024,2025,مكتب الوزير - قسم تطوير التعليم,done,,,,IQD,one,,
تشكيل لجان مشتركة لغرض دراسة الفيض والشاغر وتوزيع المعلمين على ضوء الحاجة الفعلية,ge,الموارد البشرية,توفير بيئة تعليمية تجذب وتحتفظ بموظفي التعليم المؤهلين والمتحمسين,الاختيار والتوظيف والتحفيز,تعزيز نظام إدارة المعلمين لضمان التوزيع العادل للمعلمين وفقا للاحتياجات ، من خلال اللوائح والتنفيذ الفعال ورصد التقدم,معدل الطلاب الى المدارس/ المعلم لكل مستوى تعليمي بحسب المحافظة/ ناحية,percent,100.0,7.0,2024,2032,تربية البصرة,done,0.0,0.0,0.0,IQD,one,,
انشاء نوافذ الكترونية بمنصات مجانية سهله الاستخدام يتم من خلالها ارسال جداول الحصص واستمارة الملاك وتحديث البيانات بين مدارء المدارس ومسؤلي القواطع في المحافظة لضمان دقة الخلاصة في الفيض والشاغر للكوادر التعليمية تسوية الملاكات : من الفيض والشاغر للفترة 1/8/2024 الى 1/10/2024 ولكل سنة.,ge,الموارد البشرية,توفير بيئة تعليمية تجذب وتحتفظ بموظفي التعليم المؤهلين والمتحمسين,الاختيار والتوظيف والتحفيز,تعزيز نظام إدارة المعلمين لضمان التوزيع العادل للمعلمين وفقا للاحتياجات ، من خلال اللوائح والتنفيذ الفعال ورصد التقدم,معدل العاملين من غير المعلمين الى اعضاء هيئة التدريس بحسب المستوى التعليمي( وبحسب المحافظة,percent,100.0,0.0,2024,2024,المديرية العامة لتربية النجف/ قسم التعليم العام والملاك بالتعاون المشترك مع ش. المعلومات والتصالات ومطور الصادر الالكترونية (المراسلات الالكترونية),done,,,,IQD,one,ـــ,
توزيع المعلمين وفقا للاحتياجات من خلال لجان من اقسام الاشراف التربوي والاختصاصي وتفعيل الدور الرقابي ومتابعة التوزيع,ge,الموارد البشرية,توفير بيئة تعليمية تجذب وتحتفظ بموظفي التعليم المؤهلين والمتحمسين,الاختيار والتوظيف والتحفيز,تعزيز نظام إدارة المعلمين لضمان التوزيع العادل للمعلمين وفقا للاحتياجات ، من خلال اللوائح والتنفيذ الفعال ورصد التقدم,معدل العاملين من غير المعلمين الى اعضاء هيئة التدريس بحسب المستوى التعليمي( وبحسب المحافظة,percent,100.0,50.0,2024,2025,تربية ذي قار,done,0.0,0.0,0.0,IQD,one,0,
تفعيل توصيات لجان التسوية والاخذ بالحالات الاستثنائية الضرورية فقط و التعيين حسب الرقعة الجغرافية,ge,الموارد البشرية,توفير بيئة تعليمية تجذب وتحتفظ بموظفي التعليم المؤهلين والمتحمسين,الاختيار والتوظيف والتحفيز,تعزيز نظام إدارة المعلمين لضمان التوزيع العادل للمعلمين وفقا للاحتياجات ، من خلال اللوائح والتنفيذ الفعال ورصد التقدم,معدل الطلاب الى المدارس/ المعلم لكل مستوى تعليمي بحسب المحافظة/ ناحية,percent,100.0,0.0,2024,2032,الاقسام الاشراف التربوي والاختصاصي والتعليم العام,done,0.0,0.0,0.0,IQD,one,لايوجد تخصيص مالي,
والعمل سد الشواغر في المدارس كافة من خلال جملة من الإجراءات كالنقل والتكليف والتنسيب وإكمال النصاب وتشكيل لجنة للنظر في استمارات النقل الداخلي للمعلمين والمدرسين والعمل على تنسيب او تثبيت المنقولين من خارج المحافظة,ge,الموارد البشرية,توفير بيئة تعليمية تجذب وتحتفظ بموظفي التعليم المؤهلين والمتحمسين,الاختيار والتوظيف والتحفيز,تعزيز نظام إدارة المعلمين لضمان التوزيع العادل للمعلمين وفقا للاحتياجات ، من خلال اللوائح والتنفيذ الفعال ورصد التقدم,معدل الطلاب الى المدارس/ المعلم لكل مستوى تعليمي بحسب المحافظة/ ناحية,percent,100.0,10.0,2024,2029,قسم التعليم العام والملاك + قسم الاشراف التربوي والاختصاصي - تربية كربلاء,done,0.0,0.0,0.0,IQD,one,,
متابعة اعداد الجداول الخاصة بالحصص التعليمية للهيئات التعليمية بأختصاصهم الدقيق لضمان التعلم الفعال للتلاميذ و تنفيذ خطة تسوية الملاكات التعليمية والتدريسية لسد الشواغر في المدارس وفق الاختصاصات,ge,الموارد البشرية,توفير بيئة تعليمية تجذب وتحتفظ بموظفي التعليم المؤهلين والمتحمسين,الاختيار والتوظيف والتحفيز,تعزيز نظام إدارة المعلمين لضمان التوزيع العادل للمعلمين وفقا للاحتياجات ، من خلال اللوائح والتنفيذ الفعال ورصد التقدم,معدل العاملين من غير المعلمين الى اعضاء هيئة التدريس بحسب المستوى التعليمي( وبحسب المحافظة,percent,100.0,50.0,2024,2025,قسم التعليم العام والملاك - الكرخ الثالثة,done,0.0,0.0,0.0,IQD,one,,
توزيع المعلمين وفقا للاحتياجات وبإشراف من قبل الملاك والتعليم العام وقسمي الاشراف التربوي والاختصاصي وتفعيل الدور الرقابي ومتابعة التوزيع,ge,الموارد البشرية,توفير بيئة تعليمية تجذب وتحتفظ بموظفي التعليم المؤهلين والمتحمسين,الاختيار والتوظيف والتحفيز,تعزيز نظام إدارة المعلمين لضمان التوزيع العادل للمعلمين وفقا للاحتياجات ، من خلال اللوائح والتنفيذ الفعال ورصد التقدم,معدل العاملين من غير المعلمين الى اعضاء هيئة التدريس بحسب المستوى التعليمي( وبحسب المحافظة,percent,100.0,,2025,2025,قسم التعليم العام والملاك,done,0.0,0.0,0.0,IQD,one,لايوجد,
توزيع المعلمين وفقا للاحتياجات وبإشراف من قبل الملاك والتعليم العام وقسمي الاشراف التربوي والاختصاصي وتفعيل الدور الرقابي ومتابعة التوزيع,ge,الموارد البشرية,توفير بيئة تعليمية تجذب وتحتفظ بموظفي التعليم المؤهلين والمتحمسين,الاختيار والتوظيف والتحفيز,تعزيز نظام إدارة المعلمين لضمان التوزيع العادل للمعلمين وفقا للاحتياجات ، من خلال اللوائح والتنفيذ الفعال ورصد التقدم,معدل العاملين من غير المعلمين الى اعضاء هيئة التدريس بحسب المستوى التعليمي( وبحسب المحافظة,percent,100.0,50.0,2024,2025,قسم التعليم العام والملاك - تربية نينوى,done,0.0,0.0,0.0,IQD,one,لايوجد,
اصدار أوامر نقل وتنسيب للهيئا ت التدريسية والتربوية والإدارية زالعقود ومعالجة الشواغر بالتنسيق مع قسم الاشراف التربوي والاختصاصي. تنفيذ القرارات الخاصة بتصويب العناوين الوظيفية من والى مدرس ومعلم ومعلم جامعي واداري وبالعكس وإصدار أوامر إدارية. تحديث قاعدة بيانات الملاكات التربوية والتدريسية والادارية . اصدار اوامر تنسيب بين المحافظات . اجابة وتنفيذ كافة الكتب الواردة الينا من الاقسام والوزارة . تثبيت ادارة المدارس الابتدائي والثانوي الدورة الحتمية السادسة واعلان شواغر لباقي الادارات الغير مثبتة .,ge,الموارد البشرية,توفير بيئة تعليمية تجذب وتحتفظ بموظفي التعليم المؤهلين والمتحمسين,الاختيار والتوظيف والتحفيز,تعزيز نظام إدارة المعلمين لضمان التوزيع العادل للمعلمين وفقا للاحتياجات ، من خلال اللوائح والتنفيذ الفعال ورصد التقدم,عدد المدارس التي لاتحتوي على شواغر في الكوادر التعليمية,,1.0,0.0,2026,2026,قسم التعليم العام والملاك,done,,,,IQD,one,,
تشكيل لجان مشتركة من قسمي الاشراف واقسام التربية في الاقضية لمراقبة وتقييم خطط التطوير,ge,الموارد البشرية,توفير بيئة تعليمية تجذب وتحتفظ بموظفي التعليم المؤهلين والمتحمسين,الاختيار والتوظيف والتحفيز,تعزيز نظام إدارة المعلمين لضمان التوزيع العادل للمعلمين وفقا للاحتياجات ، من خلال اللوائح والتنفيذ الفعال ورصد التقدم,معدل العاملين من غير المعلمين الى اعضاء هيئة التدريس بحسب المستوى التعليمي( وبحسب المحافظة,percent,100.0,50.0,2024,2025,المديرية العامة لتربية القادسية,done,0.0,0.0,0.0,IQD,one,بلا,
تم قبول (5300) كافة الاختصاصات لكليات التربية المفتوحة,ge,الموارد البشرية,زيادة مؤهلات المعلمين من خلال تدريب التوظيف والمعلمين قبل واثناء الخدمة,تدريب المعلمين قبل واثناء الخدمة,تنويع مؤهلات المعلمين من خلال القبول المنظم في الكلية التربوية المفتوحة وكليات التربية في وزارة التعليم العالي والبحث العلمي وفقا لاحتياجات المادة,تدريب الملعمين الذين يشاركون في الدورات التدريبية ذات الصلة,percent,100.0,0.0,2024,2025,,done,,,,IQD,one,,
إقامة ورشة تطويرية لمعلمي مدارس التعليم المسرع بواقع (80) متدرباً لاعداد قادة تدريب ((TOT ))قادرين على تدريب باقي المعلمين,ge,الموارد البشرية,زيادة مؤهلات المعلمين من خلال تدريب التوظيف والمعلمين قبل واثناء الخدمة,تدريب المعلمين قبل واثناء الخدمة,تدريب المعلمين على المناهج المحدثة,تدريب الملعمين الذين يشاركون في الدورات التدريبية ذات الصلة,percent,100.0,0.0,2025,2026,الجهاز التنفيذي لمحو الأمية,delayed,45000000.0,,,IQD,one,منظمة اليونسكو,عدم توفر تخصيص مالي او دعم من اليونسكو
إقامة ورشة تطويرية لمعلمي مدارس التعليم المسرع بواقع (80) متدرباً لاعداد قادة تدريب ((TOT ))قادرين على تدريب باقي المعلمين,ge,الموارد البشرية,زيادة مؤهلات المعلمين من خلال تدريب التوظيف والمعلمين قبل واثناء الخدمة,تدريب المعلمين قبل واثناء الخدمة,تدريب المعلمين على المناهج المحدثة,تدريب الملعمين الذين يشاركون في الدورات التدريبية ذات الصلة,other,1.0,0.2,2023,2031,الجهاز التنفيذي لمحو الأمية,delayed,45000000.0,,,IQD,one,منظمة اليونسكو,ينفذ المشروع سنة 2025
اقامة دورات تدريبية بواقع 40 دورة في كل سنة,ge,الموارد البشرية,زيادة مؤهلات المعلمين من خلال تدريب التوظيف والمعلمين قبل واثناء الخدمة,تدريب المعلمين قبل واثناء الخدمة,تدريب المعلمين على المناهج المحدثة,تدريب الملعمين الذين يشاركون في الدورات التدريبية ذات الصلة,percent,100.0,6.0,2024,2032,قسم الاعداد والتدريب - تربية الانبار,delayed,0.0,0.0,0.0,IQD,one,لايوجد,
إقامة دورات تدريبية بالتنسيق مع وزارة التربية,ge,الموارد البشرية,زيادة مؤهلات المعلمين من خلال تدريب التوظيف والمعلمين قبل واثناء الخدمة,تدريب المعلمين قبل واثناء الخدمة,تدريب المعلمين على المناهج المحدثة,تدريب الملعمين الذين يشاركون في الدورات التدريبية ذات الصلة,percent,100.0,0.0,2024,2026,تربية البصرة,done,,,,IQD,one,,
دورات للمعلمين والمدربسين حسب الخطة المحلية والاختصاصات المختلفة و (الندوات المحلية) و (الدروس التدريبية) و (الحلقات التدريبية) و (المهرجانات والمعارض) و (القوافل التدريبية) - تبدء من 1/2 / 2026 ولغاية 2026/12/31),ge,الموارد البشرية,زيادة مؤهلات المعلمين من خلال تدريب التوظيف والمعلمين قبل واثناء الخدمة,تدريب المعلمين قبل واثناء الخدمة,تدريب المعلمين على المناهج المحدثة,تدريب الملعمين الذين يشاركون في الدورات التدريبية ذات الصلة,percent,100.0,0.0,2026,2031,المديرية العامة لتربية النجف/ قسم االاعداد والتدريب,done,,,,IQD,one,موازنة تشغلية,سيتم تنفيذ ما تبقى من الدورات في الفصل الثالث والرابع
دورات المعلمين وفق المناهج المختلفة بما يخص البرنامج الحكومي بـ (برنامج فنيات تعديل السلوك) و(برنامج summer) و (برنامج timms) و (برنامج قبل الخدمة) و (برامج فن المحاثة )(الخطة المحلية حسب الاختصاصات المختلفة) و (الندوات المحلية) و (الدروس التدريبية) و (الحلقات التدريبية) و (المهرجانات والمعارض) و (القوافل التدريبية) - تبدء من 1/2 ولغاية 2025/12/31),ge,الموارد البشرية,زيادة مؤهلات المعلمين من خلال تدريب التوظيف والمعلمين قبل واثناء الخدمة,تدريب المعلمين قبل واثناء الخدمة,تدريب المعلمين على المناهج المحدثة,تدريب الملعمين الذين يشاركون في الدورات التدريبية ذات الصلة,percent,100.0,,2025-01-02 00:00:00,2025-12-31 00:00:00,المديرية العامة لتربية النجف/ قسم االاعداد والتدريب,done,96000000.0,96000000.0,,IQD,one,تشغيلية,عام 2022 و 2024 لم يتم الصرف ولحد هذه العام 2025 ( ضيافة المتدربين من قبل القسم)
دورات للمعلمين والمدربسين حسب الخطة المحلية والاختصاصات المختلفة و (الندوات المحلية) و (الدروس التدريبية) و (الحلقات التدريبية) و (المهرجانات والمعارض) و (القوافل التدريبية) - تبدء من 1/2 / 2026 ولغاية 2026/12/31),ge,الموارد البشرية,زيادة مؤهلات المعلمين من خلال تدريب التوظيف والمعلمين قبل واثناء الخدمة,تدريب المعلمين قبل واثناء الخدمة,تدريب المعلمين على المناهج المحدثة,تدريب الملعمين الذين يشاركون في الدورات التدريبية ذات الصلة,percent,100.0,,2026,2031,المديرية العامة لتربية النجف/ قسم االاعداد والتدريب,done,,,,IQD,one,موازنة تشغلية,
دورات المعلمين وفق المناهج المختلفة بـ (برنامج summer) و (برنامج timms) و (برنامج قبل الخدمة) و (برامج الخطة المحلية حسب الاختصاصات المختلفة) و (الندوات المحلية) و (الدروس التدريبية) و (الحلقات التدريبية) و (المهرجانات والمعارض) و (القوافل التدريبية) - تبدء من 1/2 ولغاية 2024/12/31),ge,الموارد البشرية,زيادة مؤهلات المعلمين من خلال تدريب التوظيف والمعلمين قبل واثناء الخدمة,تدريب المعلمين قبل واثناء الخدمة,تدريب المعلمين على المناهج المحدثة,تدريب الملعمين الذين يشاركون في الدورات التدريبية ذات الصلة,percent,100.0,40.0,2024,2024,المديرية العامة لتربية النجف/ قسم االاعداد والتدريب,done,,,,IQD,one,الموازنة التشغيلية,
تم تدريب الملاكات التعليمية والتدريسية والاشرافية(يتم تدريب المعلمين على المناهج المحدثة سنوي)بالتعاون مع ا لمديرية العامة لاعداد المعلمين والتدريب والتطوير التربوي عدد الدورات لكل سنة ),ge,الموارد البشرية,زيادة مؤهلات المعلمين من خلال تدريب التوظيف والمعلمين قبل واثناء الخدمة,تدريب المعلمين قبل واثناء الخدمة,تدريب المعلمين على المناهج المحدثة,تدريب الملعمين الذين يشاركون في الدورات التدريبية ذات الصلة,percent,100.0,50.0,2023,2031,الجهة المنفذة المديرية العامة لاعداد المعلمين والتدريب والتطوير التربوي وقسم الشؤون الفنية واقسام الاعداد والتدريب في المديريات العامة المشمولة بالدراسة التركمانية في المحافظات (بغداد-كركوك-نينوى - صلاح الدين - ديالى),done,,,,IQD,one,وزارة التربية,
إقامة دورات تدريبية بواقع 22 دورة,ge,الموارد البشرية,زيادة مؤهلات المعلمين من خلال تدريب التوظيف والمعلمين قبل واثناء الخدمة,تدريب المعلمين قبل واثناء الخدمة,تدريب المعلمين على المناهج المحدثة,تدريب الملعمين الذين يشاركون في الدورات التدريبية ذات الصلة,percent,100.0,0.0,2024,2031,شعبة التدريب -تربية ديالى,done,,,,IQD,one,الموازنة التشغيلية,
دورات برنامج s.a.m.a.r للرياضيات وبرنامج t.i.m.e.s,ge,الموارد البشرية,زيادة مؤهلات المعلمين من خلال تدريب التوظيف والمعلمين قبل واثناء الخدمة,تدريب المعلمين قبل واثناء الخدمة,تدريب المعلمين على المناهج المحدثة,تدريب الملعمين الذين يشاركون في الدورات التدريبية ذات الصلة,percent,100.0,22.0,2024,2027,قسم الاعداد والتدريب - تربية الرصافة الاولى,done,25000000.0,25000000.0,250000.0,IQD,one,موازنة تشغيلية,
اقامة دورات تدريبية للكوادر التربوية,ge,الموارد البشرية,زيادة مؤهلات المعلمين من خلال تدريب التوظيف والمعلمين قبل واثناء الخدمة,تدريب المعلمين قبل واثناء الخدمة,تدريب المعلمين على المناهج المحدثة,تدريب الملعمين الذين يشاركون في الدورات التدريبية ذات الصلة,percent,100.0,75.0,2024,2025,قسم الاعداد والتدريب - تربية صلاح الدين,done,0.0,0.0,0.0,IQD,one,لايوجد,
العمل على إقامة الدورات بحسب الحاجات التدريبية المطلوبة من قبل قسمي الاشراف الاختصاصي والتربوي بالإضافة الى الدورات الواردة من الوزارة نتيجة تغير المناهج الدراسية,ge,الموارد البشرية,زيادة مؤهلات المعلمين من خلال تدريب التوظيف والمعلمين قبل واثناء الخدمة,تدريب المعلمين قبل واثناء الخدمة,تدريب المعلمين على المناهج المحدثة,تدريب الملعمين الذين يشاركون في الدورات التدريبية ذات الصلة,percent,100.0,10.0,2024,2029,قسم الاعداد والتدريب + قسم الاشراف التربوي والاختصاصي - تربية كربلاء,done,,,,IQD,one,,
